add_date,year,month,day,day_of_week,asset_code,asset_id,material,general_location,install_date,land_id,cluster
2013-09-03 11:58,2013,9,3,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2206,3
2013-09-06 9:17,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-06 9:18,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-06 9:19,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-06 9:44,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-06 9:45,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-06 9:51,2013,9,6,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3228,3
2013-09-04 11:39,2013,9,4,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2186,3
2013-09-04 11:40,2013,9,4,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2186,3
2013-09-05 11:09,2013,9,5,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2233,3
2013-09-09 10:49,2013,9,9,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2347,2
2013-09-10 14:53,2013,9,10,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2219,2
2013-09-10 14:54,2013,9,10,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2219,2
2013-09-12 11:32,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2467,3
2013-09-12 15:40,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2235,3
2013-09-17 10:06,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,23,2
2013-09-17 10:07,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,23,2
2013-09-17 14:06,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,40,2
2013-09-18 10:29,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3374,2
2013-09-20 10:59,2013,9,20,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,149,1
2013-09-16 13:26,2013,9,16,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2576,2
2013-09-16 13:29,2013,9,16,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2576,2
2013-09-17 10:45,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3023,2
2013-09-17 10:46,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3023,2
2013-09-17 10:47,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3023,2
2013-09-17 13:24,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3191,2
2013-09-17 13:26,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3191,2
2013-09-18 10:04,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2590,2
2013-09-18 10:05,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2590,2
2013-09-18 12:37,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2597,2
