Add Date,Year,Month,Day,DayOfWeek,Asset Code,Asset ID,Material,General Location,Install Date,Land ID
2013-08-26 11:55:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2365
2013-08-26 14:22:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3095
2013-08-26 14:23:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3095
2013-08-27 09:59:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3086
2013-08-27 10:00:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3086
2013-08-27 13:29:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3075
2013-08-27 13:30:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3075
2013-08-28 08:28:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2392
2013-08-28 08:28:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2392
2013-08-28 13:03:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3231
2013-08-28 13:04:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3231
2013-08-28 14:27:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2332
2013-08-28 14:28:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2332
2013-08-28 14:29:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2332
2013-08-28 14:29:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2332
2013-08-29 08:56:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3238
2013-08-29 09:31:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3237
2013-08-29 09:31:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3237
2013-08-29 12:09:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3137
2013-09-03 11:58:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2206
2013-09-03 11:58:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2206
2013-09-06 09:17:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3228
2013-09-06 09:18:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3228
2013-09-06 09:18:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3228
2013-09-06 09:19:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3228
